Deal Type,Telcos:device_full_name,device name look up,brand_name,colour,Telcos:storage_size,img_link,Telcos:network,provider logo,Telcos:connectivity,Telcos:inc_data,Monthly Data,Telcos:term,Telcos:initial_cost,Telcos:month_cost,Telcos:deal_cost_json,aw_deep_link,promo_text,condition
Tablet,"Apple iPad Pro 12.9"" (2021) 5G (512GB Space Grey)",Apple iPad Pro 12.9 (2021),Apple,Space Grey,512GB,https://media.bigupdata.co.uk/2021-04-30_17-39-12_img_product_image_main_large1_product_edition0000097503.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,5G,1000,1GB,1,1435.56,13,"{""tco_inc_vat"": ""1448.56"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""1435.56"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""1207.13"", ""ecpm_inc_vat"": ""1448.56"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""1207.13"", ""upfront_exc_vat"": ""1196.30"", ""monthly_device_term_months"": """", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""1"", ""monthly_total_inc_vat"": ""13.00"", ""monthly_device_inc_vat"": """", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""0.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": """", ""monthly_device_exc_vat"": """", ""monthly_total_exc_vat"": ""10.83"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=31933157659&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,36,0,11,"{""tco_inc_vat"": ""396.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""0.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""330.00"", ""ecpm_inc_vat"": ""11.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.17"", ""upfront_exc_vat"": ""0.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""11.00"", ""monthly_device_inc_vat"": ""5.00"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""4.17"", ""monthly_total_exc_vat"": ""9.17"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165841&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,36,30,10.17,"{""tco_inc_vat"": ""396.12"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""330.10"", ""ecpm_inc_vat"": ""11.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.17"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""10.17"", ""monthly_device_inc_vat"": ""4.17"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""3.48"", ""monthly_total_exc_vat"": ""8.48"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165847&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,12,30,18.5,"{""tco_inc_vat"": ""252.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""210.00"", ""ecpm_inc_vat"": ""21.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""17.50"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""12"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""12"", ""monthly_total_inc_vat"": ""18.50"", ""monthly_device_inc_vat"": ""12.50"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""10.42"", ""monthly_total_exc_vat"": ""15.42"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165851&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,24,30,12.25,"{""tco_inc_vat"": ""324.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""270.00"", ""ecpm_inc_vat"": ""13.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""11.25"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""24"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""24"", ""monthly_total_inc_vat"": ""12.25"", ""monthly_device_inc_vat"": ""6.25"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""5.21"", ""monthly_total_exc_vat"": ""10.21"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165853&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,1,179.99,7,"{""tco_inc_vat"": ""186.99"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""179.99"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""155.82"", ""ecpm_inc_vat"": ""186.99"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""155.82"", ""upfront_exc_vat"": ""149.99"", ""monthly_device_term_months"": """", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""1"", ""monthly_total_inc_vat"": ""7.00"", ""monthly_device_inc_vat"": """", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""0.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": """", ""monthly_device_exc_vat"": """", ""monthly_total_exc_vat"": ""5.83"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165905&a=713067&m=3235,,New
Tablet,"Alcatel 3T 10"" (32GB Prime Black)","Alcatel 3T 10""",Alcatel,Black,32GB,https://media.bigupdata.co.uk/2021-03-16_12-48-29_img_product_image_main_large1_product_edition0000096751.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,1,179.99,6,"{""tco_inc_vat"": ""185.99"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""179.99"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""154.99"", ""ecpm_inc_vat"": ""185.99"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""154.99"", ""upfront_exc_vat"": ""149.99"", ""monthly_device_term_months"": """", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""1"", ""monthly_total_inc_vat"": ""6.00"", ""monthly_device_inc_vat"": """", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""0.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": """", ""monthly_device_exc_vat"": """", ""monthly_total_exc_vat"": ""5.00"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30877165923&a=713067&m=3235,,New
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,1,162,7,"{""tco_inc_vat"": ""169.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""162.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""140.83"", ""ecpm_inc_vat"": ""169.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""140.83"", ""upfront_exc_vat"": ""135.00"", ""monthly_device_term_months"": """", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""1"", ""monthly_total_inc_vat"": ""7.00"", ""monthly_device_inc_vat"": """", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""0.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": """", ""monthly_device_exc_vat"": """", ""monthly_total_exc_vat"": ""5.83"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30726300607&a=713067&m=3235,,New
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,1,162,6,"{""tco_inc_vat"": ""168.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""162.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""140.00"", ""ecpm_inc_vat"": ""168.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""140.00"", ""upfront_exc_vat"": ""135.00"", ""monthly_device_term_months"": """", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""1"", ""monthly_total_inc_vat"": ""6.00"", ""monthly_device_inc_vat"": """", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""0.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": """", ""monthly_device_exc_vat"": """", ""monthly_total_exc_vat"": ""5.00"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30726300611&a=713067&m=3235,,New
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,36,30,9.67,"{""tco_inc_vat"": ""378.12"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""315.10"", ""ecpm_inc_vat"": ""10.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""8.75"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""9.67"", ""monthly_device_inc_vat"": ""3.67"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""3.06"", ""monthly_total_exc_vat"": ""8.06"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30726302267&a=713067&m=3235,,New
